keys,zhc,zh,en
當前輪次:,當前輪次:,当前轮次:,Current Round:
剩餘機台使用次數:,剩餘機台使用次數:,剩余机台使用次数:,Remaining Machine Uses:
目標金額:,目標金額:,目标金额:,Target Amount:
當前金額:,當前金額:,当前金额:,Current Amount:
結算獎勵:,結算獎勵:,结算奖励:,Settlement Reward:
商店,商店,商店,Shop
持有道具,持有道具,持有道具,Owned Items
開始拉霸,開始拉霸,开始拉霸,Start Slot
刷新商品,刷新商品,刷新商品,Refresh Items
拉7%s次，兌換券+1,拉7%s次，兌換券+1,拉7%s次，兑换券+1,"Spin 7%s Times, +1 Voucher"
拉3%s次，兌換券+2,拉3%s次，兌換券+2,拉3%s次，兑换券+2,"Spin 3%s Times, +2 Vouchers"
符號倍率:,符號倍率:,符号倍率:,Symbol Multiplier:
圖形倍率:,圖形倍率:,图形倍率:,Pattern Multiplier:
剩餘次數：,剩餘次數：,剩余次数：,Remaining Times:
持有總額：,持有總額：,持有总额：,Total Balance:
目標金額：,目標金額：,目标金额：,Target Balance:
